F1,F2
85414517.90809488,147475.21849149495
89755657.44680905,140726.64590418022
106389335.87107295,42468.00690881947
90952914.64109874,133472.5346277841
86088244.38936663,143949.56639992964
90561203.05298924,136024.51082849083
104110143.5918693,69729.05544084149
103145709.90652025,74715.61608749803
101245338.1124717,84514.77877344632
4651009179.472838,71756.78457781246
145131219.2978349,129724.27449000032
2035364083.291431,101654.17699887228
1605218835.3776894,128646.68670440464
4651009179.472838,71756.78457781246
145131219.2978349,129724.27449000032
343049728.2869394,101627.52441581621
4651009179.472838,71756.78457781246
145131219.2978349,129724.27449000032
4661834818.03565,69259.97377773485
231936484.98459718,82186.1816749796
3204689003.6942177,73558.11650214854
4651009179.472838,71756.78457781246
145131219.2978349,129724.27449000032
4661834818.03565,69259.97377773485
231936484.98459718,82186.1816749796
3204689003.6942177,73558.11650214854
145106772.94944283,129740.34382164902
4651506656.720978,71755.61731369322
4035887737.1709447,72508.82843037002
222499781.89275202,82193.06994834804
145106772.94944283,129740.34382164902
222499781.89275202,82193.06994834804
145117855.2256591,129627.16115677742
4655537917.677869,69102.25240578633
230512181.41914192,69918.32052293625
145106772.94944283,129740.34382164902
222499781.89275202,82193.06994834804
145117855.2256591,129627.16115677742
4655537917.677869,69102.25240578633
230512181.41914192,69918.32052293625
144530470.8177488,130687.24728315487
231159619.02223387,69221.92305137523
222509957.1598852,82187.39199952039
233283523.58230618,67861.55204408905
141831645.0499411,132876.34344892166
157544717.34180245,85276.04950430541
145434036.7010925,128276.68120074115
221979517.3546134,83407.8226098259
230512181.41914192,69918.32052293625
222509957.1598852,82187.39199952039
144530470.8177488,130687.24728315487
231159619.02223387,69221.92305137523
145117855.2256591,129627.16115677742
133458845.99950346,132986.0907758018
244537069.19957218,66345.56654584513
157544717.34180245,85276.04950430541
145535906.77590433,127102.73986780508
221979517.3546134,83407.8226098259
229969037.5072156,71624.45332714755
222509957.1598852,82187.39199952039
233283523.58230618,67861.55204408905
140345868.25222304,132668.87456406612
144530470.8177488,130687.24728315487
257531602.48683766,66325.51037042045
124542000.72286329,133027.69642419985
145535906.77590433,127102.73986780508
157544717.34180245,85276.04950430541
216557420.10010538,83885.9372672655
162877397.03824022,84796.09880427395
229969037.5072156,71624.45332714755
222509464.55273136,82186.32988206542
244537069.19957218,66345.56654584513
233001185.3066236,67804.68689687479
124542000.72286329,133027.69642419985
145535906.77590433,127102.73986780508
219278207.0899473,67460.3623705935
151099738.3511611,71996.75869550141
239405154.73893425,64819.97430311757
151099738.3511611,71996.75869550141
227749892.48913726,64871.21451714273
145462990.0548508,127096.30102988094
219123047.45805565,67438.64627544254
123813586.1665152,130249.13017525936
230432930.0076426,57787.67206015267
151099738.3511611,71996.75869550141
145462990.0548508,127096.30102988094
123813586.1665152,130249.13017525936
230432930.0076426,57787.67206015267
225897019.52984068,60134.26132119928
171659148.7932922,66099.32356448825
123835234.42111722,130248.08296908373
123813586.1665152,130249.13017525936
230432930.0076426,57787.67206015267
225897019.52984068,60134.26132119928
123835234.42111722,130248.08296908373
127573168.72056064,130078.66645222547
132289699.77041832,117152.52051701356
142884055.31307802,63069.419450731984
230432930.0076426,57787.67206015267
127573168.72056064,130078.66645222547
132289699.77041832,117152.52051701356
224195092.24078295,58010.57778336855
123758341.92554602,130233.76622535218
142870110.1188433,63068.594568527
154578202.62445882,58705.53268084345
142870110.1188433,63068.594568527
154578202.62445882,58705.53268084345
220729365.87554792,57628.0858690505
102860826.09664193,108794.06660785497
143257615.0984418,62960.6314930741
100529650.75887808,108590.1766188892
140224610.73028013,61261.085151079125
141007230.02461168,55760.91509861215
100529650.75887808,108590.1766188892
140224610.73028013,61261.085151079125
141007230.02461168,55760.91509861215
140881297.03396574,60017.28188869409
139176902.4269931,61953.34797073853
102789850.61158964,106661.28855142849
140997382.29414782,55768.23164295585
100616722.7796273,108148.75819101355
100529650.75887808,108590.1766188892
141007230.02461168,55760.91509861215
139176902.4269931,61953.34797073853
140997382.29414782,55768.23164295585
100616722.7796273,108148.75819101355
102079936.01646647,105002.39630506848
188549419.15486047,49313.104336779455
139748103.75086817,57080.93563790395
188549419.15486047,49313.104336779455
120655119.34722611,51087.30905567099
100401007.14909837,101729.55478362537
100223028.33380565,108136.84291530498
120655119.34722611,51087.30905567099
100401007.14909837,101729.55478362537
100223028.33380565,108136.84291530498
127649234.84540018,48734.93208188044
100175003.39020881,108147.03463737879
4514774934.234918,53529.82873080377
